회원ID,총구매액,최대구매액,환불금액,주구매상품,주구매지점,방문일수,방문당구매건수,주말방문비율,구매주기,성별
90,1805890,299000,NaN,가공식품,잠실점,5,5.600000,0.857143,62,1
91,2634000,2574000,NaN,액세서리,부평점,2,1.000000,0.500000,36,0
92,5420000,4840000,4838400.0,피혁잡화,본점,2,3.000000,0.000000,7,0
93,341823670,42960000,57549800.0,농산물,동래점,81,2.740741,0.216216,4,0
94,140718960,15686000,NaN,화장품,본점,21,3.095238,0.538462,15,0
95,8960000,8601600,2975000.0,시티웨어,부산본점,3,1.333333,0.000000,2,0
96,3940150,3250000,NaN,기타,관악점,2,3.000000,0.000000,79,1
97,483229330,22750000,NaN,시티웨어,영등포점,43,3.883721,0.437126,8,1
98,5430250,4387500,NaN,기타,본점,2,2.500000,0.000000,58,1
99,109816000,77040000,3080000.0,피혁잡화,본점,12,1.416667,0.470588,10,0
100,55995890,34970000,735000.0,기타,본점,9,2.666667,0.041667,37,0
101,9940000,3860000,NaN,섬유잡화,분당점,2,2.000000,0.000000,29,0
102,156000,143000,NaN,차/커피,본점,1,2.000000,1.000000,0,1
103,83750,24000,NaN,가공식품,영등포점,2,4.000000,0.000000,1,1
104,81684500,20700000,NaN,피혁잡화,본점,4,2.000000,0.500000,27,1
105,80790610,28203000,NaN,가공식품,일산점,10,4.700000,0.191489,29,1
106,4104220,420000,NaN,가공식품,본점,7,5.714286,0.000000,17,1
107,6284000,2990000,NaN,구두,본점,4,1.250000,0.200000,69,1
108,96289740,12988800,NaN,일용잡화,포항점,27,3.074074,0.481928,12,0
109,316486800,92225000,26732400.0,기타,잠실점,57,2.385965,0.169118,6,0
110,25914480,19750000,NaN,농산물,잠실점,15,1.333333,0.050000,22,1
111,37189800,28534000,NaN,디자이너,강남점,4,1.250000,0.800000,28,0
112,46113120,9750000,NaN,가공식품,본점,38,2.368421,0.288889,9,0
113,17856000,8640000,NaN,기타,잠실점,3,1.666667,0.400000,97,0
114,272000,272000,NaN,일용잡화,본점,1,1.000000,0.000000,0,1
115,44727800,16800000,NaN,기타,분당점,20,5.150000,0.233010,16,0
116,300650,110110,NaN,농산물,잠실점,1,4.000000,1.000000,0,0
117,71169570,17049600,NaN,가공식품,본점,12,3.833333,0.717391,27,1
118,228654470,30000000,45308500.0,기타,노원점,69,2.681159,0.248649,5,0
119,1143100,1093400,NaN,시티웨어,광주점,1,2.000000,0.000000,0,1
120,1400500,546000,NaN,가공식품,미아점,3,4.666667,0.000000,17,0
121,5902000,2838000,NaN,디자이너,분당점,3,1.666667,0.200000,3,1
122,3087000,1587000,NaN,남성캐주얼,영등포점,2,1.500000,0.666667,2,0
123,5619650,5392800,NaN,기타,안양점,1,5.000000,1.000000,0,1
124,79891750,19650000,NaN,아동,부산본점,12,2.833333,0.058824,13,0
125,16258000,7750000,NaN,수산품,영등포점,4,2.750000,0.000000,58,0
126,169669150,26750000,NaN,화장품,본점,22,2.681818,0.338983,13,0
127,122353300,30240000,45000.0,캐주얼,일산점,26,2.384615,0.161290,13,0
128,27184590,5006400,6285300.0,가공식품,미아점,19,4.578947,0.287356,17,1
129,41175940,11520000,7791000.0,기타,대전점,14,3.571429,0.260000,24,0
130,27546070,13420000,NaN,가공식품,잠실점,11,4.636364,0.156863,25,1
131,155416710,20265760,NaN,기타,대전점,34,5.176471,0.306818,10,1
132,350841000,44895600,3960000.0,명품,잠실점,39,2.230769,0.264368,9,0
133,369263020,128315850,5107000.0,기타,본점,104,4.490385,0.186296,3,0
134,3718000,3718000,NaN,주방가전,잠실점,1,1.000000,0.000000,0,0
135,35873850,5256000,NaN,기타,잠실점,16,1.937500,0.290323,12,0
136,52976440,6850000,NaN,가공식품,분당점,57,5.000000,0.357895,6,0
137,12000,12000,NaN,수산품,본점,1,1.000000,0.000000,0,1
138,208000,954000,1007000.0,기타,강남점,2,4.500000,0.222222,1,0
139,3264000,836000,NaN,섬유잡화,본점,5,1.400000,0.714286,67,1
140,336000,336000,NaN,주방용품,본점,1,1.000000,1.000000,0,0
141,44711400,16416000,16691800.0,차/커피,본점,27,2.444444,0.348485,12,0
142,18068400,15750000,NaN,시티웨어,본점,2,1.000000,0.000000,80,0
143,7556680,624000,NaN,가공식품,본점,4,19.000000,0.000000,19,1
144,1444000,840000,NaN,농산물,본점,4,2.000000,0.000000,61,0
145,304783000,26250000,18041000.0,화장품,본점,36,2.611111,0.074468,10,0
146,7300400,4176000,NaN,기타,부산본점,5,2.600000,0.076923,35,1
147,36869860,25875000,NaN,디자이너,일산점,4,2.000000,0.000000,63,1
148,81239780,9765000,NaN,농산물,본점,17,3.411765,0.000000,13,1
149,27862000,12240000,NaN,화장품,잠실점,8,1.250000,0.100000,20,1
150,72329000,25244800,NaN,시티웨어,대전점,11,2.363636,0.038462,26,1
151,16890450,4599000,NaN,스포츠,창원점,12,1.750000,0.000000,22,1
152,159877920,41706000,43200000.0,디자이너,잠실점,31,2.161290,0.253731,10,0
153,337481650,43620000,28124200.0,농산물,일산점,91,9.120879,0.721687,3,0
154,4009000,1980000,NaN,시티웨어,청량리점,2,2.500000,0.000000,38,0
155,29622900,12240000,NaN,기타,영등포점,4,2.000000,0.000000,40,1
156,1848000,1771000,NaN,건강식품,본점,1,2.000000,1.000000,0,1
157,510000,510000,NaN,육류,본점,1,1.000000,0.000000,0,0
158,583828800,168000000,120000.0,기타,잠실점,15,3.266667,0.469388,22,1
159,1980000,1980000,NaN,시티웨어,분당점,1,1.000000,0.000000,0,1
160,9580000,9196800,NaN,시티웨어,본점,1,2.000000,0.000000,0,1
161,285275820,91872000,26660000.0,농산물,잠실점,62,2.612903,0.080247,5,1
162,921000,576000,NaN,차/커피,본점,1,2.000000,0.000000,0,0
163,76620,45000,NaN,축산가공,영등포점,1,2.000000,1.000000,0,1
164,535194380,91872000,8687000.0,기타,본점,46,2.760870,0.118110,7,0
165,40386100,17250000,2070000.0,농산물,분당점,8,5.000000,0.050000,29,1
166,74684500,7050000,NaN,화장품,본점,24,1.875000,0.466667,14,1
167,3132000,3628800,3780000.0,구두,청량리점,4,1.750000,0.000000,51,0
168,292855700,48507000,50000.0,기타,노원점,51,2.803922,0.237762,7,1
169,4325800,2543800,NaN,건강식품,강남점,3,1.666667,0.800000,69,1
170,10846000,5550000,NaN,골프,부산본점,3,1.000000,0.666667,53,0
171,182330270,15272000,6050000.0,농산물,잠실점,58,3.344828,0.159794,5,0
172,266032800,42500000,42500000.0,디자이너,광주점,22,3.727273,0.378049,13,0
173,22557240,15225000,15225000.0,가공식품,본점,13,3.076923,0.075000,25,0
174,736000,460000,NaN,화장품,잠실점,1,2.000000,0.000000,0,0
175,69219600,11088000,5891500.0,시티웨어,광주점,19,2.315789,0.295455,18,1
176,54252670,11750000,20492400.0,기타,분당점,35,4.514286,0.322785,9,0
177,17581400,3801600,1653600.0,화장품,센텀시티점,10,2.200000,0.227273,31,0
178,28912000,7490000,NaN,가공식품,강남점,7,4.142857,0.482759,43,0
179,1571800,921600,NaN,가공식품,관악점,1,6.000000,1.000000,0,1
180,90790500,34270000,1342000.0,가공식품,본점,9,3.444444,0.064516,31,0
181,263885610,11850000,1968200.0,기타,잠실점,123,3.934959,0.334711,2,0
182,7799000,5600000,NaN,스포츠,부산본점,1,3.000000,1.000000,0,0
183,15395900,9125000,NaN,가공식품,잠실점,10,2.100000,0.000000,23,1
184,5134500,2225000,4110200.0,캐주얼,부산본점,10,1.900000,0.315789,11,0
185,49173370,5293400,936000.0,농산물,부산본점,38,3.342105,0.196850,9,1
186,457600470,141840000,11352000.0,기타,잠실점,82,2.963415,0.275720,4,0
187,246000,150000,NaN,기타,분당점,1,3.000000,0.000000,0,0
188,10321200,12222000,10110600.0,가구,미아점,8,1.500000,0.500000,4,0
189,232374000,35901000,14255000.0,디자이너,본점,38,1.894737,0.361111,8,0
190,196820,56680,NaN,주류,노원점,2,5.500000,1.000000,14,1
191,31637550,4840000,NaN,일용잡화,분당점,11,1.545455,0.117647,28,0
192,93903550,22344000,NaN,가공식품,분당점,18,4.166667,0.173333,18,0
193,87388900,20000000,2316000.0,가공식품,본점,32,3.062500,0.438776,9,0
194,40341080,5544000,NaN,농산물,관악점,52,8.076923,0.145238,6,0
195,10062000,4185000,NaN,남성캐주얼,분당점,4,1.750000,0.428571,62,1
196,87684100,10900000,29805400.0,명품,본점,44,2.000000,0.215909,7,0
197,4464000,4464000,NaN,디자이너,미아점,1,1.000000,0.000000,0,0
198,30722230,19470000,NaN,축산가공,본점,29,2.689655,0.205128,11,1
199,17930000,14630000,NaN,시티웨어,강남점,1,2.000000,0.000000,0,0
200,2476800,2476800,NaN,피혁잡화,부산본점,1,1.000000,0.000000,0,0
201,478429880,88000000,19255000.0,남성캐주얼,잠실점,49,2.285714,0.241071,7,0
202,806000,806000,NaN,화장품,본점,1,1.000000,1.000000,0,0
203,877500,721500,NaN,기타,본점,2,1.500000,0.000000,88,1
204,15111000,14454000,NaN,가구,노원점,1,2.000000,1.000000,0,1
205,81825270,7250000,16984000.0,가공식품,부산본점,156,3.833333,0.245819,2,1
206,385246700,37510000,NaN,화장품,본점,51,2.509804,0.453125,6,0
207,3306000,1242000,NaN,모피/피혁,영등포점,4,1.750000,0.000000,70,0
208,377453160,114000000,10500000.0,시티웨어,미아점,26,2.038462,0.566038,13,0
209,139233380,17100000,NaN,농산물,영등포점,46,4.260870,0.250000,7,1
210,211517700,35715000,16014000.0,기타,일산점,47,2.659574,0.400000,7,0
211,2495400,1875000,NaN,수산품,본점,1,7.000000,1.000000,0,1
212,567250,560000,NaN,육류,노원점,2,1.500000,1.000000,0,0
213,33719500,5750000,NaN,수산품,본점,12,2.000000,0.208333,20,0
214,402450700,161000000,381521000.0,디자이너,본점,40,2.125000,0.294118,6,0
215,100468740,12000000,2967000.0,농산물,관악점,50,4.320000,0.333333,7,0
216,162650520,13272000,32152900.0,명품,부산본점,46,2.347826,0.046296,7,1
217,50646400,13478000,6351000.0,캐주얼,부산본점,9,3.000000,0.074074,23,0
218,5752750,1750000,NaN,캐주얼,본점,6,2.333333,0.142857,47,1
219,122892510,27025000,NaN,기타,대전점,21,4.333333,0.461538,15,0
220,16874410,10704000,2645000.0,수산품,광주점,14,3.214286,0.355556,24,0
221,94186870,21480000,7950000.0,농산물,본점,67,5.671642,0.363158,5,1
222,44513000,14400000,NaN,육류,본점,7,2.571429,0.111111,18,1
223,171326210,34500000,7663000.0,기타,본점,39,3.589744,0.257143,8,0
224,930000,930000,NaN,남성캐주얼,영등포점,1,1.000000,0.000000,0,1
225,26011480,12936000,NaN,가공식품,강남점,8,3.750000,0.500000,35,0
226,396256660,48040000,18244000.0,명품,본점,69,3.826087,0.287879,5,0
227,16592200,16592200,NaN,남성트랜디,분당점,1,1.000000,1.000000,0,0
228,41896940,7605000,NaN,가공식품,안양점,12,5.083333,0.311475,25,0
229,2763000,1568000,NaN,아동,본점,2,1.000000,1.000000,62,0
230,404538200,39018000,4440000.0,가공식품,동래점,40,3.600000,0.187500,9,0
231,805120,325600,NaN,농산물,강남점,2,4.500000,0.777778,20,0
232,40000,30000,NaN,가공식품,본점,1,3.000000,1.000000,0,1
233,274149780,88000000,NaN,시티웨어,잠실점,52,3.038462,0.468354,6,0
234,12100000,12100000,NaN,셔츠,본점,1,1.000000,1.000000,0,1
235,56772170,3675000,6293200.0,농산물,관악점,95,6.378947,0.301980,3,0
236,9737000,5850000,NaN,디자이너,부산본점,2,1.000000,0.000000,63,0
237,179968970,18172000,12348000.0,농산물,본점,39,5.102564,0.030151,8,0
238,103305800,13057000,5808000.0,섬유잡화,관악점,21,2.761905,0.293103,14,0
239,47108540,14875000,NaN,기타,본점,23,2.130435,0.306122,15,1
240,34662500,33600000,NaN,남성정장,본점,2,1.000000,0.500000,95,0
241,121809800,9636000,8199100.0,스포츠,광주점,50,1.700000,0.141176,7,1
242,220184580,113664000,NaN,가공식품,본점,17,2.823529,0.270833,20,0
243,96766950,16660000,2000000.0,축산가공,분당점,19,3.000000,0.385965,18,0
244,31662000,27750000,NaN,섬유잡화,광주점,2,2.000000,0.750000,15,1
245,105991880,38550000,NaN,농산물,부산본점,67,3.089552,0.285024,5,0
246,123000,123000,NaN,일용잡화,본점,1,1.000000,0.000000,0,1
247,349113180,28800000,30766000.0,기타,분당점,69,3.362319,0.448276,5,0
248,10000,10000,NaN,가공식품,잠실점,1,1.000000,1.000000,0,0
249,30162270,8665020,NaN,기타,분당점,11,2.272727,0.360000,28,0
250,63696000,17550000,23459000.0,명품,본점,21,1.095238,0.260870,12,1
251,61000,61000,NaN,명품,본점,1,1.000000,0.000000,0,1
252,139963420,14513000,10212000.0,가공식품,본점,27,2.370370,0.718750,12,0
253,807000,437000,NaN,스포츠,분당점,1,3.000000,0.000000,0,0
254,4748600,12375000,12375000.0,스포츠,분당점,3,3.666667,0.272727,0,1
255,46969270,8008000,NaN,기타,분당점,10,4.100000,0.439024,30,1
256,367329330,84945000,3360000.0,가공식품,인천점,37,5.702703,0.236967,9,0
257,11050000,6251000,NaN,명품,본점,3,1.666667,0.600000,89,1
258,51455300,8750000,NaN,기타,잠실점,35,3.714286,0.353846,9,0
259,274763860,24928000,3974400.0,아동,본점,30,3.900000,0.418803,11,0
260,13493000,5052000,NaN,주류,잠실점,7,2.142857,0.533333,31,1
261,111713950,20000000,NaN,아동,일산점,14,2.071429,0.413793,22,1
262,607800,408660,NaN,기타,잠실점,1,5.000000,1.000000,0,1
263,29522130,6460000,NaN,기타,본점,79,2.645570,0.392344,4,1
264,11005000,4008000,NaN,화장품,본점,3,1.666667,0.000000,85,1
265,10042150,1400000,2310000.0,가공식품,본점,27,3.111111,0.011905,13,0
266,32845400,17935400,NaN,시티웨어,본점,2,1.000000,0.500000,32,0
267,6801000,2950000,NaN,남성캐주얼,본점,1,4.000000,1.000000,0,1
268,41358000,27808000,28648000.0,디자이너,본점,12,1.250000,0.200000,20,0
269,11800000,11800000,NaN,남성정장,청량리점,1,1.000000,1.000000,0,1
270,4319000,2072000,686000.0,가공식품,잠실점,4,2.250000,0.000000,46,0
271,30661250,9706000,NaN,화장품,부산본점,9,2.000000,0.222222,39,0
272,10830000,10830000,NaN,시티웨어,광주점,1,1.000000,1.000000,0,1
273,9936400,7326000,NaN,농산물,잠실점,4,1.500000,0.000000,82,1
274,170000,90000,NaN,가공식품,본점,1,2.000000,1.000000,0,0
275,5200000,5200000,NaN,피혁잡화,본점,1,1.000000,0.000000,0,1
276,196138350,25100000,45593100.0,디자이너,본점,40,2.100000,0.154762,8,0
277,199528710,24528000,235199200.0,가공식품,본점,90,3.822222,0.098837,3,0
278,33583000,20000000,NaN,수산품,영등포점,2,3.500000,0.142857,166,0
279,29303590,11600000,NaN,농산물,영등포점,6,2.333333,0.071429,57,0
280,55462700,25783000,28287000.0,디자이너,본점,10,2.300000,0.391304,33,0
281,263000,126000,NaN,일용잡화,청량리점,1,4.000000,0.000000,0,0
282,83105400,16610000,NaN,가공식품,부산본점,17,2.352941,0.775000,18,1
283,1915000,1680000,NaN,생활잡화,부산본점,2,1.500000,0.000000,31,0
284,1968300,1470000,NaN,수산품,노원점,4,1.250000,0.600000,66,1
285,2225000,2136000,NaN,캐주얼,본점,1,2.000000,0.000000,0,0
286,4141000,2604000,1725000.0,스포츠,분당점,2,3.500000,0.000000,2,1
287,1150000,1150000,NaN,섬유잡화,본점,1,1.000000,1.000000,0,1
288,870000,870000,NaN,화장품,잠실점,1,1.000000,1.000000,0,0
289,713090,220000,NaN,가공식품,분당점,5,2.800000,0.000000,19,0
290,227174910,18552000,NaN,농산물,부평점,102,6.725490,0.239067,3,1
291,243821950,119520000,3080000.0,기타,분당점,13,4.076923,0.603774,26,0
292,987720920,52875000,14963000.0,화장품,대전점,137,2.321168,0.399371,2,1
293,2894000,2415000,NaN,생활잡화,본점,1,3.000000,0.000000,0,0
294,14018900,6900000,NaN,축산가공,분당점,6,1.666667,0.600000,51,1
295,1163100,19125000,19125000.0,농산물,본점,3,3.333333,0.800000,2,1
296,26592550,19584000,NaN,농산물,부산본점,7,3.142857,0.318182,40,0
297,10500,5500,NaN,가공식품,분당점,1,2.000000,0.000000,0,1
298,130214860,53544000,NaN,가공식품,본점,86,3.186047,0.408759,4,1
299,775790,143000,NaN,가공식품,강남점,6,3.833333,0.695652,18,0
300,398583270,53429000,16399000.0,기타,일산점,33,2.666667,0.306818,10,0
301,836353880,71000000,21600000.0,명품,동래점,61,2.918033,0.370787,5,0
302,117141800,31656000,NaN,화장품,부산본점,11,1.818182,0.400000,21,1
303,4325000,4325000,NaN,화장품,잠실점,1,1.000000,0.000000,0,0
304,92774470,19624000,4290000.0,수산품,분당점,18,4.833333,0.126437,17,0
305,61154170,9614000,240000.0,가공식품,본점,140,3.378571,0.293869,2,0
306,11510000,11250000,NaN,골프,영등포점,2,1.500000,1.000000,41,0
307,13883100,12720000,NaN,기타,인천점,1,7.000000,0.000000,0,1
308,497778300,33383000,2200000.0,기타,분당점,183,8.071038,0.383886,1,1
309,275349170,96000000,NaN,가공식품,분당점,31,4.645161,0.340278,11,0
310,92197700,25000000,NaN,남성캐주얼,관악점,4,3.000000,0.500000,66,0
311,622000,360000,NaN,화장품,잠실점,2,1.500000,0.000000,14,1
312,2640140,1236000,NaN,차/커피,본점,9,2.333333,0.333333,36,1
313,246086710,11100000,NaN,기타,본점,95,2.210526,0.209524,3,0
314,12474000,12474000,NaN,디자이너,영등포점,1,1.000000,0.000000,0,1
315,1640200,4560000,4560000.0,캐주얼,일산점,6,1.666667,0.600000,39,0
316,35799650,7080000,NaN,기타,본점,22,2.954545,0.215385,15,1
317,5750000,5750000,NaN,섬유잡화,잠실점,1,1.000000,1.000000,0,0
318,11883940,4150000,NaN,수산품,분당점,9,1.888889,0.294118,28,0
319,2562000,1357000,NaN,남성캐주얼,영등포점,2,4.500000,0.444444,1,0
320,3811000,3531000,NaN,수산품,본점,2,1.500000,0.000000,2,0
321,99273720,13608000,NaN,화장품,동래점,14,2.071429,0.068966,21,1
322,149659570,32500000,18486900.0,기타,본점,83,2.445783,0.241379,4,0
323,233423330,28608000,NaN,농산물,일산점,30,2.700000,0.135802,11,0
324,100482800,46410000,1955000.0,시티웨어,분당점,14,1.571429,0.136364,9,0
325,60230680,50450000,NaN,농산물,분당점,15,3.266667,0.244898,21,0
326,6062000,5740000,NaN,수산품,본점,2,1.500000,0.000000,91,1
327,39641100,6900000,1394000.0,피혁잡화,분당점,19,1.578947,0.166667,17,0
328,78958920,40000000,NaN,기타,일산점,15,5.600000,0.619048,23,0
329,92952300,12796000,12847800.0,기타,본점,24,2.125000,0.098039,12,0
330,21763310,14080000,NaN,농산물,영등포점,21,2.476190,0.076923,16,0
331,405244930,43050000,39012000.0,시티웨어,영등포점,69,3.942029,0.220588,5,0
332,1123720,490500,NaN,농산물,분당점,4,3.250000,0.538462,29,1
333,459805300,28244000,56857600.0,기타,분당점,66,2.939394,0.273196,5,0
334,16330000,13530000,5784000.0,기타,분당점,5,4.600000,0.000000,50,0
335,6752000,1850000,NaN,건강식품,잠실점,5,1.200000,0.666667,62,1
336,705000,660000,NaN,주방용품,본점,1,2.000000,1.000000,0,1
337,4191200,3500000,NaN,화장품,영등포점,2,1.000000,0.000000,81,0
338,24762000,18524000,NaN,수산품,본점,4,1.250000,0.400000,55,0
339,204516400,93600000,10120000.0,시티웨어,광주점,22,1.363636,0.200000,12,0
340,28407850,4913000,3943400.0,구두,부산본점,13,3.538462,0.021739,13,0
341,66010670,12826000,15134000.0,가공식품,노원점,33,3.212121,0.188679,10,0
342,19510840,920000,2135000.0,기타,본점,81,2.493827,0.301980,4,0
343,194000,170000,NaN,차/커피,영등포점,2,1.000000,0.000000,133,1
344,1237750,345000,NaN,가공식품,분당점,2,5.500000,0.636364,41,1
345,89133620,12882500,15157200.0,농산물,분당점,19,4.368421,0.048193,18,1
346,6743310,12374000,13898000.0,캐주얼,본점,9,1.777778,0.375000,36,1
347,54791590,39840000,7499570.0,가공식품,본점,17,8.000000,0.220588,16,1
348,86772800,28947600,NaN,가공식품,대전점,8,3.375000,0.259259,43,0
349,3543500,2607500,NaN,스포츠,분당점,2,1.500000,0.000000,107,1
350,24783000,8820000,975000.0,시티웨어,안양점,5,2.200000,0.090909,58,0
351,208214540,17175000,51852000.0,수산품,본점,44,3.113636,0.116788,7,0
352,1800000,2200000,2200000.0,모피/피혁,관악점,3,1.333333,0.000000,79,0
353,4866400,3300000,NaN,구두,영등포점,2,1.000000,0.500000,142,1
354,7975140,3105000,NaN,기타,미아점,3,20.333333,1.000000,11,1
355,83408300,35625000,1224000.0,트래디셔널,본점,14,1.571429,0.136364,20,1
